epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10613.6,1.05162,0.76246,1.07468,0.80268,0.64752,0.72438,0.44237,1.39141,0.94084,1.2078,0.000410357,0.000410357,0.000410357
43,10865.6,1.04689,0.75804,1.07412,0.8047,0.64259,0.72168,0.44175,1.37856,0.94326,1.19673,0.000400048,0.000400048,0.000400048
44,11115.1,1.04132,0.75273,1.07235,0.82362,0.63624,0.72749,0.4451,1.38764,0.94066,1.19652,0.00038974,0.00038974,0.00038974
45,11364.7,1.03144,0.74664,1.06652,0.82843,0.63775,0.72713,0.44687,1.38144,0.93429,1.19125,0.000379431,0.000379431,0.000379431
46,11614.5,1.03308,0.74312,1.06681,0.80762,0.64372,0.72303,0.44495,1.38055,0.93416,1.19487,0.000369123,0.000369123,0.000369123
47,11865.6,1.02078,0.73047,1.06116,0.82729,0.63112,0.72855,0.44844,1.37144,0.92983,1.19995,0.000358815,0.000358815,0.000358815
48,12116.8,1.025,0.73098,1.06222,0.80784,0.63975,0.72452,0.448,1.37253,0.92112,1.19877,0.000348506,0.000348506,0.000348506
49,12372.6,1.01903,0.73015,1.0615,0.81603,0.64202,0.73071,0.45005,1.37256,0.91648,1.19185,0.000338198,0.000338198,0.000338198
50,12624.1,1.00676,0.71659,1.05513,0.80209,0.65113,0.73217,0.44904,1.37093,0.91659,1.19629,0.00032789,0.00032789,0.00032789
51,12877.2,1.01181,0.71965,1.05659,0.80492,0.64938,0.72749,0.44621,1.37688,0.91654,1.19545,0.000317581,0.000317581,0.000317581
52,13126.7,1.01017,0.71911,1.05541,0.79563,0.64931,0.72814,0.44707,1.37157,0.90891,1.19686,0.000307273,0.000307273,0.000307273
53,13378.5,1.00329,0.70871,1.05342,0.81322,0.65039,0.73235,0.44706,1.36969,0.90751,1.19228,0.000296964,0.000296964,0.000296964
54,13630.3,1.00254,0.70481,1.05308,0.79125,0.64657,0.72551,0.4467,1.36384,0.90837,1.19057,0.000286656,0.000286656,0.000286656
55,13882.4,1.00446,0.70428,1.05187,0.81864,0.64307,0.73272,0.45001,1.36062,0.90911,1.18831,0.000276348,0.000276348,0.000276348
56,14134.7,0.99261,0.69908,1.04567,0.81736,0.64835,0.73242,0.45029,1.36891,0.90177,1.19262,0.000266039,0.000266039,0.000266039
57,14384.8,0.99789,0.69686,1.04972,0.80363,0.63452,0.72805,0.44948,1.35946,0.90824,1.18561,0.000255731,0.000255731,0.000255731
58,14634.4,0.98328,0.6843,1.04125,0.82502,0.63404,0.72933,0.45074,1.35378,0.902,1.1848,0.000245423,0.000245423,0.000245423
59,14884,0.97406,0.68071,1.03655,0.82057,0.63848,0.72968,0.45155,1.35275,0.90589,1.18517,0.000235114,0.000235114,0.000235114
60,15133.8,0.97992,0.68271,1.04062,0.81384,0.64445,0.72796,0.44911,1.35526,0.90127,1.18866,0.000224806,0.000224806,0.000224806
61,15383.8,0.97233,0.67585,1.03875,0.82276,0.63384,0.7251,0.44641,1.36276,0.9032,1.19526,0.000214497,0.000214497,0.000214497
62,15633.9,0.96968,0.67383,1.03465,0.79506,0.64386,0.72648,0.44954,1.35895,0.89655,1.19071,0.000204189,0.000204189,0.000204189
63,15886.3,0.96906,0.6722,1.0358,0.80451,0.64391,0.72853,0.44937,1.36048,0.90059,1.19112,0.000193881,0.000193881,0.000193881
64,16138.9,0.96257,0.66909,1.03423,0.81085,0.64791,0.72943,0.44925,1.34889,0.89467,1.18236,0.000183572,0.000183572,0.000183572
65,16389.4,0.95857,0.66552,1.03237,0.8081,0.64451,0.72834,0.44819,1.34351,0.89678,1.18396,0.000173264,0.000173264,0.000173264
66,16642.6,0.95692,0.66263,1.03209,0.81479,0.64563,0.72885,0.45327,1.34947,0.88826,1.18658,0.000162956,0.000162956,0.000162956
67,16892.3,0.95005,0.65545,1.02929,0.81165,0.64311,0.72661,0.45142,1.34666,0.88616,1.19097,0.000152647,0.000152647,0.000152647
68,17144.4,0.94916,0.65521,1.02942,0.81205,0.64442,0.72919,0.4517,1.34837,0.8849,1.1906,0.000142339,0.000142339,0.000142339
